Periods,Region,Price
1995,Assen,75013.0
1996,Assen,81232.0
1997,Assen,80947.0
1998,Assen,88505.0
1999,Assen,102768.0
2000,Assen,120177.0
2001,Assen,131365.0
2002,Assen,145777.0
2003,Assen,149765.0
2004,Assen,159401.0
2005,Assen,168939.0
2006,Assen,180645.0
2007,Assen,184287.0
2008,Assen,186792.0
2009,Assen,184050.0
2010,Assen,186206.0
2011,Assen,182993.0
2012,Assen,182530.0
2013,Assen,172090.0
2014,Assen,175497.0
2015,Assen,183838.0
2016,Assen,190911.0
2017,Assen,199135.0
1995,Coevorden,71576.0
1996,Coevorden,75983.0
1997,Coevorden,71746.0
1998,Coevorden,111111.0
1999,Coevorden,129641.0
2000,Coevorden,158862.0
2001,Coevorden,171956.0
2002,Coevorden,180720.0
2003,Coevorden,177210.0
2004,Coevorden,188093.0
2005,Coevorden,188670.0
2006,Coevorden,206556.0
2007,Coevorden,212644.0
2008,Coevorden,228372.0
2009,Coevorden,201968.0
2010,Coevorden,212365.0
2011,Coevorden,205781.0
2012,Coevorden,192977.0
2013,Coevorden,178598.0
2014,Coevorden,183627.0
2015,Coevorden,188646.0
2016,Coevorden,213934.0
2017,Coevorden,211691.0
1995,Emmen,74636.0
1996,Emmen,83434.0
1997,Emmen,93054.0
1998,Emmen,100686.0
1999,Emmen,108330.0
2000,Emmen,122583.0
2001,Emmen,133447.0
2002,Emmen,148534.0
2003,Emmen,154476.0
2004,Emmen,157012.0
2005,Emmen,168827.0
2006,Emmen,176542.0
2007,Emmen,187535.0
2008,Emmen,181218.0
2009,Emmen,171201.0
2010,Emmen,173616.0
2011,Emmen,170985.0
2012,Emmen,163328.0
2013,Emmen,154309.0
2014,Emmen,154291.0
2015,Emmen,163937.0
2016,Emmen,171741.0
2017,Emmen,184750.0
1995,Hoogeveen,76666.0
1996,Hoogeveen,81690.0
1997,Hoogeveen,88344.0
1998,Hoogeveen,100190.0
1999,Hoogeveen,110110.0
2000,Hoogeveen,140889.0
2001,Hoogeveen,145570.0
2002,Hoogeveen,151379.0
2003,Hoogeveen,160773.0
2004,Hoogeveen,160541.0
2005,Hoogeveen,165674.0
2006,Hoogeveen,188812.0
2007,Hoogeveen,197650.0
2008,Hoogeveen,192917.0
2009,Hoogeveen,186762.0
2010,Hoogeveen,196371.0
2011,Hoogeveen,179743.0
2012,Hoogeveen,170511.0
2013,Hoogeveen,168759.0
2014,Hoogeveen,171785.0
2015,Hoogeveen,174397.0
2016,Hoogeveen,186967.0
2017,Hoogeveen,188528.0
1995,Meppel,82440.0
1996,Meppel,89634.0
1997,Meppel,98915.0
1998,Meppel,105315.0
1999,Meppel,135069.0
2000,Meppel,154376.0
2001,Meppel,186608.0
2002,Meppel,185488.0
2003,Meppel,193585.0
2004,Meppel,200008.0
2005,Meppel,204994.0
2006,Meppel,216883.0
2007,Meppel,228204.0
2008,Meppel,228984.0
2009,Meppel,202043.0
2010,Meppel,209723.0
2011,Meppel,215054.0
2012,Meppel,205517.0
2013,Meppel,183603.0
2014,Meppel,193649.0
2015,Meppel,194267.0
2016,Meppel,212006.0
2017,Meppel,223764.0
