Periods,Region,Price
1995,Almere,92546.0
1996,Almere,102638.0
1997,Almere,108957.0
1998,Almere,112179.0
1999,Almere,134684.0
2000,Almere,157145.0
2001,Almere,170565.0
2002,Almere,188560.0
2003,Almere,197749.0
2004,Almere,196465.0
2005,Almere,197747.0
2006,Almere,208941.0
2007,Almere,215482.0
2008,Almere,223489.0
2009,Almere,209689.0
2010,Almere,205853.0
2011,Almere,205127.0
2012,Almere,192040.0
2013,Almere,180357.0
2014,Almere,188513.0
2015,Almere,194953.0
2016,Almere,206317.0
2017,Almere,240518.0
1995,Dronten,110116.0
1996,Dronten,114740.0
1997,Dronten,114127.0
1998,Dronten,125371.0
1999,Dronten,145569.0
2000,Dronten,218373.0
2001,Dronten,174264.0
2002,Dronten,206154.0
2003,Dronten,214569.0
2004,Dronten,220890.0
2005,Dronten,221999.0
2006,Dronten,230807.0
2007,Dronten,230743.0
2008,Dronten,247425.0
2009,Dronten,227981.0
2010,Dronten,220287.0
2011,Dronten,228284.0
2012,Dronten,215203.0
2013,Dronten,195161.0
2014,Dronten,197724.0
2015,Dronten,212987.0
2016,Dronten,215670.0
2017,Dronten,230916.0
1995,Lelystad,80373.0
1996,Lelystad,75645.0
1997,Lelystad,84182.0
1998,Lelystad,88743.0
1999,Lelystad,95740.0
2000,Lelystad,131274.0
2001,Lelystad,132276.0
2002,Lelystad,153606.0
2003,Lelystad,158050.0
2004,Lelystad,167137.0
2005,Lelystad,174333.0
2006,Lelystad,188626.0
2007,Lelystad,193464.0
2008,Lelystad,196381.0
2009,Lelystad,184520.0
2010,Lelystad,193575.0
2011,Lelystad,175362.0
2012,Lelystad,165632.0
2013,Lelystad,161270.0
2014,Lelystad,171740.0
2015,Lelystad,179997.0
2016,Lelystad,187695.0
2017,Lelystad,196170.0
1995,Noordoostpolder,81498.0
1996,Noordoostpolder,104777.0
1997,Noordoostpolder,84446.0
1998,Noordoostpolder,104200.0
1999,Noordoostpolder,111314.0
2000,Noordoostpolder,135489.0
2001,Noordoostpolder,152146.0
2002,Noordoostpolder,164704.0
2003,Noordoostpolder,177071.0
2004,Noordoostpolder,178292.0
2005,Noordoostpolder,188041.0
2006,Noordoostpolder,195909.0
2007,Noordoostpolder,208593.0
2008,Noordoostpolder,206608.0
2009,Noordoostpolder,193731.0
2010,Noordoostpolder,190344.0
2011,Noordoostpolder,193360.0
2012,Noordoostpolder,179941.0
2013,Noordoostpolder,169806.0
2014,Noordoostpolder,189571.0
2015,Noordoostpolder,180321.0
2016,Noordoostpolder,196777.0
2017,Noordoostpolder,209773.0
1995,Urk,69513.0
1996,Urk,73100.0
1997,Urk,86866.0
1998,Urk,92246.0
1999,Urk,93478.0
2000,Urk,107841.0
2001,Urk,129934.0
2002,Urk,136287.0
2003,Urk,152742.0
2004,Urk,167266.0
2005,Urk,191946.0
2006,Urk,193805.0
2007,Urk,162031.0
2008,Urk,180598.0
2009,Urk,181990.0
2010,Urk,183114.0
2011,Urk,157632.0
2012,Urk,187777.0
2013,Urk,179052.0
2014,Urk,181103.0
2015,Urk,189998.0
2016,Urk,194649.0
2017,Urk,218969.0
1995,Zeewolde,127834.0
1996,Zeewolde,137784.0
1997,Zeewolde,138329.0
1998,Zeewolde,141353.0
1999,Zeewolde,187739.0
2000,Zeewolde,201430.0
2001,Zeewolde,216991.0
2002,Zeewolde,246261.0
2003,Zeewolde,255814.0
2004,Zeewolde,251265.0
2005,Zeewolde,241469.0
2006,Zeewolde,243736.0
2007,Zeewolde,270199.0
2008,Zeewolde,263873.0
2009,Zeewolde,267786.0
2010,Zeewolde,277763.0
2011,Zeewolde,249682.0
2012,Zeewolde,234806.0
2013,Zeewolde,212387.0
2014,Zeewolde,228573.0
2015,Zeewolde,220442.0
2016,Zeewolde,229813.0
2017,Zeewolde,252451.0
