Periods,Region,Price
1995,Achtkarspelen,61727.0
1996,Achtkarspelen,73472.0
1997,Achtkarspelen,80563.0
1998,Achtkarspelen,95810.0
1999,Achtkarspelen,109922.0
2000,Achtkarspelen,133915.0
2001,Achtkarspelen,153585.0
2002,Achtkarspelen,153570.0
2003,Achtkarspelen,159611.0
2004,Achtkarspelen,176705.0
2005,Achtkarspelen,182002.0
2006,Achtkarspelen,201098.0
2007,Achtkarspelen,199191.0
2008,Achtkarspelen,214001.0
2009,Achtkarspelen,183043.0
2010,Achtkarspelen,188733.0
2011,Achtkarspelen,188124.0
2012,Achtkarspelen,178073.0
2013,Achtkarspelen,152525.0
2014,Achtkarspelen,155891.0
2015,Achtkarspelen,174264.0
2016,Achtkarspelen,179055.0
2017,Achtkarspelen,184383.0
1995,Ameland,88893.0
1996,Ameland,74560.0
1997,Ameland,91752.0
1998,Ameland,108159.0
1999,Ameland,118170.0
2000,Ameland,161227.0
2001,Ameland,135235.0
2002,Ameland,159701.0
2003,Ameland,159645.0
2004,Ameland,174771.0
2005,Ameland,206699.0
2006,Ameland,190249.0
2007,Ameland,207912.0
2008,Ameland,210325.0
2009,Ameland,198673.0
2010,Ameland,207460.0
2011,Ameland,204085.0
2012,Ameland,181521.0
2013,Ameland,215026.0
2014,Ameland,198338.0
2015,Ameland,178284.0
2016,Ameland,252680.0
2017,Ameland,251805.0
1995,het Bildt,53483.0
1996,het Bildt,51043.0
1997,het Bildt,65351.0
1998,het Bildt,73188.0
1999,het Bildt,74505.0
2000,het Bildt,93883.0
2001,het Bildt,117434.0
2002,het Bildt,135016.0
2003,het Bildt,141024.0
2004,het Bildt,148995.0
2005,het Bildt,154574.0
2006,het Bildt,156894.0
2007,het Bildt,164830.0
2008,het Bildt,176876.0
2009,het Bildt,174943.0
2010,het Bildt,183155.0
2011,het Bildt,149298.0
2012,het Bildt,167935.0
2013,het Bildt,134156.0
2014,het Bildt,131996.0
2015,het Bildt,141548.0
2016,het Bildt,151635.0
2017,het Bildt,165624.0
1995,Dongeradeel,59817.0
1996,Dongeradeel,59434.0
1997,Dongeradeel,67442.0
1998,Dongeradeel,76496.0
1999,Dongeradeel,87495.0
2000,Dongeradeel,99775.0
2001,Dongeradeel,120181.0
2002,Dongeradeel,136315.0
2003,Dongeradeel,145025.0
2004,Dongeradeel,153029.0
2005,Dongeradeel,158108.0
2006,Dongeradeel,169446.0
2007,Dongeradeel,174326.0
2008,Dongeradeel,178035.0
2009,Dongeradeel,168934.0
2010,Dongeradeel,178861.0
2011,Dongeradeel,164717.0
2012,Dongeradeel,163037.0
2013,Dongeradeel,155035.0
2014,Dongeradeel,153324.0
2015,Dongeradeel,161799.0
2016,Dongeradeel,165522.0
2017,Dongeradeel,181244.0
1995,Franekeradeel,59745.0
1996,Franekeradeel,67775.0
1997,Franekeradeel,77951.0
1998,Franekeradeel,82198.0
1999,Franekeradeel,84439.0
2000,Franekeradeel,110132.0
2001,Franekeradeel,125224.0
2002,Franekeradeel,133497.0
2003,Franekeradeel,139348.0
2004,Franekeradeel,162710.0
2005,Franekeradeel,157881.0
2006,Franekeradeel,179389.0
2007,Franekeradeel,164138.0
2008,Franekeradeel,192386.0
2009,Franekeradeel,158878.0
2010,Franekeradeel,182056.0
2011,Franekeradeel,165388.0
2012,Franekeradeel,149972.0
2013,Franekeradeel,140882.0
2014,Franekeradeel,146869.0
2015,Franekeradeel,149344.0
2016,Franekeradeel,161989.0
2017,Franekeradeel,179650.0
1995,Harlingen,64447.0
1996,Harlingen,65201.0
1997,Harlingen,78378.0
1998,Harlingen,93337.0
1999,Harlingen,107668.0
2000,Harlingen,105496.0
2001,Harlingen,120384.0
2002,Harlingen,145711.0
2003,Harlingen,152903.0
2004,Harlingen,157128.0
2005,Harlingen,169089.0
2006,Harlingen,180516.0
2007,Harlingen,178696.0
2008,Harlingen,184064.0
2009,Harlingen,170494.0
2010,Harlingen,175716.0
2011,Harlingen,184401.0
2012,Harlingen,176967.0
2013,Harlingen,171483.0
2014,Harlingen,160606.0
2015,Harlingen,170472.0
2016,Harlingen,179087.0
2017,Harlingen,185938.0
1995,Heerenveen,88265.0
1996,Heerenveen,98341.0
1997,Heerenveen,85335.0
1998,Heerenveen,114229.0
1999,Heerenveen,130350.0
2000,Heerenveen,152388.0
2001,Heerenveen,161210.0
2002,Heerenveen,176724.0
2003,Heerenveen,193360.0
2004,Heerenveen,189904.0
2005,Heerenveen,193539.0
2006,Heerenveen,213149.0
2007,Heerenveen,219663.0
2008,Heerenveen,215080.0
