Periods,Region,Price
1995,Aalten,90191.0
1996,Aalten,105185.0
1997,Aalten,96758.0
1998,Aalten,119551.0
1999,Aalten,114640.0
2000,Aalten,153334.0
2001,Aalten,147145.0
2002,Aalten,169135.0
2003,Aalten,167115.0
2004,Aalten,172198.0
2005,Aalten,187662.0
2006,Aalten,193997.0
2007,Aalten,200628.0
2008,Aalten,193222.0
2009,Aalten,193284.0
2010,Aalten,187353.0
2011,Aalten,189290.0
2012,Aalten,176637.0
2013,Aalten,159498.0
2014,Aalten,175272.0
2015,Aalten,168032.0
2016,Aalten,192007.0
2017,Aalten,206497.0
1995,Apeldoorn,100024.0
1996,Apeldoorn,109968.0
1997,Apeldoorn,122534.0
1998,Apeldoorn,136409.0
1999,Apeldoorn,156702.0
2000,Apeldoorn,192227.0
2001,Apeldoorn,210654.0
2002,Apeldoorn,213442.0
2003,Apeldoorn,220285.0
2004,Apeldoorn,230944.0
2005,Apeldoorn,243423.0
2006,Apeldoorn,254550.0
2007,Apeldoorn,263858.0
2008,Apeldoorn,260812.0
2009,Apeldoorn,238914.0
2010,Apeldoorn,239224.0
2011,Apeldoorn,243583.0
2012,Apeldoorn,230535.0
2013,Apeldoorn,204898.0
2014,Apeldoorn,214203.0
2015,Apeldoorn,219569.0
2016,Apeldoorn,227978.0
2017,Apeldoorn,252463.0
1995,Arnhem,80240.0
1996,Arnhem,87221.0
1997,Arnhem,97326.0
1998,Arnhem,111416.0
1999,Arnhem,129059.0
2000,Arnhem,149386.0
2001,Arnhem,164376.0
2002,Arnhem,172213.0
2003,Arnhem,179682.0
2004,Arnhem,186810.0
2005,Arnhem,188779.0
2006,Arnhem,196732.0
2007,Arnhem,203549.0
2008,Arnhem,219351.0
2009,Arnhem,200876.0
2010,Arnhem,204498.0
2011,Arnhem,212747.0
2012,Arnhem,205702.0
2013,Arnhem,189517.0
2014,Arnhem,190551.0
2015,Arnhem,199528.0
2016,Arnhem,205816.0
2017,Arnhem,221424.0
1995,Barneveld,128470.0
1996,Barneveld,147772.0
1997,Barneveld,155434.0
1998,Barneveld,182297.0
1999,Barneveld,220087.0
2000,Barneveld,246961.0
2001,Barneveld,267905.0
2002,Barneveld,268552.0
2003,Barneveld,264072.0
2004,Barneveld,280777.0
2005,Barneveld,292103.0
2006,Barneveld,306034.0
2007,Barneveld,322137.0
2008,Barneveld,322785.0
2009,Barneveld,311501.0
2010,Barneveld,309841.0
2011,Barneveld,290602.0
2012,Barneveld,283522.0
2013,Barneveld,258912.0
2014,Barneveld,258411.0
2015,Barneveld,266307.0
2016,Barneveld,282871.0
2017,Barneveld,312523.0
1995,Beuningen,101535.0
1996,Beuningen,106914.0
1997,Beuningen,125640.0
1998,Beuningen,124963.0
1999,Beuningen,150542.0
2000,Beuningen,195815.0
2001,Beuningen,202846.0
2002,Beuningen,222824.0
2003,Beuningen,225571.0
2004,Beuningen,246599.0
2005,Beuningen,244158.0
2006,Beuningen,258473.0
2007,Beuningen,276689.0
2008,Beuningen,256208.0
2009,Beuningen,246188.0
2010,Beuningen,242071.0
2011,Beuningen,244630.0
2012,Beuningen,243698.0
2013,Beuningen,217853.0
2014,Beuningen,225126.0
2015,Beuningen,240907.0
2016,Beuningen,239749.0
2017,Beuningen,258172.0
1995,Brummen,104497.0
1996,Brummen,119100.0
1997,Brummen,140491.0
1998,Brummen,154281.0
1999,Brummen,188951.0
2000,Brummen,236068.0
2001,Brummen,272114.0
2002,Brummen,249329.0
2003,Brummen,285533.0
2004,Brummen,270558.0
2005,Brummen,316946.0
2006,Brummen,288115.0
2007,Brummen,299368.0
2008,Brummen,332779.0
2009,Brummen,312503.0
2010,Brummen,312900.0
2011,Brummen,256583.0
2012,Brummen,254791.0
2013,Brummen,230802.0
2014,Brummen,239879.0
2015,Brummen,236020.0
2016,Brummen,247929.0
2017,Brummen,268532.0
1995,Buren,127372.0
1996,Buren,128788.0
1997,Buren,153291.0
1998,Buren,183919.0
1999,Buren,190522.0
2000,Buren,209714.0
2001,Buren,269583.0
2002,Buren,247508.0
2003,Buren,260181.0
2004,Buren,287002.0
2005,Buren,281742.0
2006,Buren,318817.0
2007,Buren,336132.0
2008,Buren,342651.0
2009,Buren,285561.0
2010,Buren,289948.0
2011,Buren,294769.0
2012,Buren,259137.0
2013,Buren,262957.0
2014,Buren,268619.0
2015,Buren,274334.0
2016,Buren,276091.0
2017,Buren,298471.0
1995,Culemborg,104461.0
1996,Culemborg,116903.0
1997,Culemborg,125367.0
1998,Culemborg,136164.0
1999,Culemborg,158315.0
2000,Culemborg,174145.0
2001,Culemborg,196795.0
2002,Culemborg,212937.0
2003,Culemborg,210503.0
2004,Culemborg,216020.0
2005,Culemborg,229631.0
2006,Culemborg,236487.0
2007,Culemborg,258340.0
2008,Culemborg,256852.0
2009,Culemborg,251523.0
2010,Culemborg,253712.0
2011,Culemborg,255121.0
2012,Culemborg,246017.0
2013,Culemborg,222451.0
2014,Culemborg,229069.0
2015,Culemborg,233311.0
2016,Culemborg,221135.0
2017,Culemborg,242697.0
1995,Doesburg,95587.0
1996,Doesburg,90232.0
1997,Doesburg,126319.0
1998,Doesburg,138894.0
1999,Doesburg,146261.0
2000,Doesburg,166228.0
2001,Doesburg,198090.0
2002,Doesburg,215891.0
2003,Doesburg,216248.0
2004,Doesburg,207742.0
2005,Doesburg,239278.0
2006,Doesburg,227883.0
2007,Doesburg,233155.0
2008,Doesburg,244104.0
2009,Doesburg,232849.0
2010,Doesburg,230851.0
2011,Doesburg,254440.0
2012,Doesburg,222345.0
2013,Doesburg,187533.0
2014,Doesburg,202903.0
2015,Doesburg,233048.0
2016,Doesburg,230431.0
2017,Doesburg,246640.0
1995,Doetinchem,107795.0
1996,Doetinchem,98848.0
1997,Doetinchem,115878.0
1998,Doetinchem,126803.0
1999,Doetinchem,138755.0
2000,Doetinchem,153495.0
2001,Doetinchem,180991.0
2002,Doetinchem,195394.0
2003,Doetinchem,201915.0
2004,Doetinchem,205284.0
2005,Doetinchem,210762.0
2006,Doetinchem,224141.0
2007,Doetinchem,237968.0
2008,Doetinchem,239108.0
2009,Doetinchem,229711.0
2010,Doetinchem,228798.0
2011,Doetinchem,225993.0
2012,Doetinchem,215306.0
2013,Doetinchem,209660.0
2014,Doetinchem,200148.0
2015,Doetinchem,210292.0
2016,Doetinchem,208543.0
2017,Doetinchem,226634.0
1995,Druten,93913.0
1996,Druten,110885.0
1997,Druten,124286.0
1998,Druten,143709.0
1999,Druten,143408.0
2000,Druten,187389.0
2001,Druten,211038.0
2002,Druten,218753.0
2003,Druten,234732.0
2004,Druten,242409.0
2005,Druten,260043.0
2006,Druten,253180.0
2007,Druten,284809.0
2008,Druten,283611.0
2009,Druten,254817.0
2010,Druten,239340.0
2011,Druten,268145.0
2012,Druten,221112.0
2013,Druten,217721.0
2014,Druten,215454.0
2015,Druten,228096.0
2016,Druten,218829.0
2017,Druten,251976.0
1995,Duiven,93567.0
1996,Duiven,107814.0
1997,Duiven,119775.0
1998,Duiven,136679.0
1999,Duiven,151413.0
2000,Duiven,176307.0
2001,Duiven,198998.0
2002,Duiven,206235.0
2003,Duiven,210460.0
2004,Duiven,220199.0
2005,Duiven,225399.0
2006,Duiven,236818.0
2007,Duiven,230654.0
2008,Duiven,237374.0
2009,Duiven,220802.0
2010,Duiven,230024.0
2011,Duiven,212817.0
2012,Duiven,204080.0
2013,Duiven,195300.0
2014,Duiven,197460.0
2015,Duiven,217551.0
2016,Duiven,214458.0
2017,Duiven,234145.0
1995,Ede,111526.0
1996,Ede,120831.0
1997,Ede,133216.0
1998,Ede,153534.0
1999,Ede,179304.0
2000,Ede,204788.0
2001,Ede,207934.0
2002,Ede,228359.0
2003,Ede,232380.0
2004,Ede,233167.0
2005,Ede,246740.0
2006,Ede,254618.0
2007,Ede,274703.0
2008,Ede,283215.0
2009,Ede,271937.0
2010,Ede,265566.0
2011,Ede,249686.0
2012,Ede,237404.0
2013,Ede,222518.0
2014,Ede,225311.0
2015,Ede,231632.0
2016,Ede,246465.0
2017,Ede,247766.0
1995,Elburg,102200.0
1996,Elburg,111677.0
1997,Elburg,129524.0
1998,Elburg,127517.0
1999,Elburg,175571.0
2000,Elburg,206520.0
2001,Elburg,191013.0
2002,Elburg,210066.0
2003,Elburg,213739.0
2004,Elburg,221268.0
2005,Elburg,223674.0
2006,Elburg,258746.0
2007,Elburg,272212.0
2008,Elburg,262808.0
2009,Elburg,261500.0
2010,Elburg,258929.0
2011,Elburg,230310.0
2012,Elburg,236298.0
2013,Elburg,212226.0
2014,Elburg,232187.0
2015,Elburg,231145.0
2016,Elburg,232395.0
2017,Elburg,265099.0
1995,Epe,129560.0
1996,Epe,137188.0
1997,Epe,144234.0
1998,Epe,161741.0
1999,Epe,204740.0
2000,Epe,259459.0
2001,Epe,298451.0
2002,Epe,290209.0
2003,Epe,264225.0
2004,Epe,305390.0
2005,Epe,309604.0
2006,Epe,327065.0
2007,Epe,342049.0
2008,Epe,309682.0
2009,Epe,298552.0
2010,Epe,281030.0
2011,Epe,288784.0
2012,Epe,245069.0
2013,Epe,223410.0
2014,Epe,253415.0
2015,Epe,248385.0
2016,Epe,267704.0
2017,Epe,301598.0
1995,Ermelo,120337.0
1996,Ermelo,126721.0
1997,Ermelo,147684.0
1998,Ermelo,163908.0
1999,Ermelo,204687.0
2000,Ermelo,235624.0
2001,Ermelo,259469.0
2002,Ermelo,270774.0
2003,Ermelo,268482.0
2004,Ermelo,291421.0
2005,Ermelo,308476.0
2006,Ermelo,304184.0
2007,Ermelo,309183.0
2008,Ermelo,302549.0
2009,Ermelo,287098.0
2010,Ermelo,320276.0
2011,Ermelo,281714.0
2012,Ermelo,274388.0
2013,Ermelo,246783.0
2014,Ermelo,267052.0
2015,Ermelo,258218.0
2016,Ermelo,293176.0
2017,Ermelo,299821.0
1995,Geldermalsen,118207.0
1996,Geldermalsen,129807.0
1997,Geldermalsen,145489.0
1998,Geldermalsen,161313.0
1999,Geldermalsen,174652.0
2000,Geldermalsen,214999.0
2001,Geldermalsen,261524.0
2002,Geldermalsen,250765.0
2003,Geldermalsen,254223.0
2004,Geldermalsen,254850.0
2005,Geldermalsen,289765.0
2006,Geldermalsen,290426.0
2007,Geldermalsen,316439.0
2008,Geldermalsen,329376.0
2009,Geldermalsen,325515.0
2010,Geldermalsen,303398.0
2011,Geldermalsen,300121.0
2012,Geldermalsen,296930.0
2013,Geldermalsen,252729.0
2014,Geldermalsen,273499.0
2015,Geldermalsen,267265.0
2016,Geldermalsen,272297.0
2017,Geldermalsen,285022.0
1995,Harderwijk,98561.0
1996,Harderwijk,112507.0
1997,Harderwijk,119104.0
1998,Harderwijk,130807.0
1999,Harderwijk,166049.0
2000,Harderwijk,185752.0
2001,Harderwijk,202273.0
2002,Harderwijk,221415.0
2003,Harderwijk,218333.0
2004,Harderwijk,217469.0
2005,Harderwijk,245397.0
2006,Harderwijk,245398.0
2007,Harderwijk,258628.0
2008,Harderwijk,279483.0
2009,Harderwijk,244035.0
2010,Harderwijk,251015.0
2011,Harderwijk,240148.0
2012,Harderwijk,240096.0
2013,Harderwijk,233894.0
2014,Harderwijk,231130.0
2015,Harderwijk,238579.0
2016,Harderwijk,255649.0
2017,Harderwijk,271810.0
1995,Hattem,120635.0
1996,Hattem,125994.0
1997,Hattem,128388.0
1998,Hattem,163875.0
1999,Hattem,188710.0
2000,Hattem,215094.0
2001,Hattem,223887.0
2002,Hattem,264212.0
2003,Hattem,245064.0
2004,Hattem,294878.0
2005,Hattem,280867.0
2006,Hattem,280065.0
2007,Hattem,317911.0
2008,Hattem,305655.0
2009,Hattem,300279.0
2010,Hattem,308225.0
2011,Hattem,276121.0
2012,Hattem,252060.0
2013,Hattem,231867.0
2014,Hattem,267997.0
2015,Hattem,252723.0
2016,Hattem,253125.0
2017,Hattem,300119.0
1995,Heerde,121513.0
1996,Heerde,134403.0
1997,Heerde,147217.0
1998,Heerde,155712.0
1999,Heerde,204076.0
2000,Heerde,227675.0
2001,Heerde,261520.0
2002,Heerde,297117.0
2003,Heerde,282824.0
2004,Heerde,281316.0
2005,Heerde,295846.0
2006,Heerde,311826.0
2007,Heerde,332897.0
2008,Heerde,317849.0
2009,Heerde,308936.0
2010,Heerde,271153.0
2011,Heerde,270538.0
2012,Heerde,247333.0
2013,Heerde,242262.0
2014,Heerde,247746.0
2015,Heerde,244140.0
2016,Heerde,269274.0
2017,Heerde,277731.0
1995,Heumen,120902.0
1996,Heumen,133517.0
1997,Heumen,125101.0
1998,Heumen,149283.0
1999,Heumen,178199.0
2000,Heumen,217530.0
2001,Heumen,250791.0
2002,Heumen,268700.0
2003,Heumen,275412.0
2004,Heumen,267051.0
2005,Heumen,302561.0
2006,Heumen,300016.0
2007,Heumen,305215.0
2008,Heumen,349173.0
2009,Heumen,326891.0
2010,Heumen,311444.0
