Periods,Region,Price
1995,Appingedam,63239.0
1996,Appingedam,63839.0
1997,Appingedam,75184.0
1998,Appingedam,77023.0
1999,Appingedam,80202.0
2000,Appingedam,93688.0
2001,Appingedam,112452.0
2002,Appingedam,126843.0
2003,Appingedam,141034.0
2004,Appingedam,153787.0
2005,Appingedam,162537.0
2006,Appingedam,150387.0
2007,Appingedam,161195.0
2008,Appingedam,179629.0
2009,Appingedam,159694.0
2010,Appingedam,167311.0
2011,Appingedam,171155.0
2012,Appingedam,151738.0
2013,Appingedam,141286.0
2014,Appingedam,146861.0
2015,Appingedam,146925.0
2016,Appingedam,164504.0
2017,Appingedam,174924.0
1995,Bedum,79343.0
1996,Bedum,73018.0
1997,Bedum,87111.0
1998,Bedum,88532.0
1999,Bedum,101282.0
2000,Bedum,121041.0
2001,Bedum,144062.0
2002,Bedum,156401.0
2003,Bedum,172072.0
2004,Bedum,162263.0
2005,Bedum,185464.0
2006,Bedum,198602.0
2007,Bedum,194998.0
2008,Bedum,188657.0
2009,Bedum,179730.0
2010,Bedum,188139.0
2011,Bedum,186653.0
2012,Bedum,179928.0
2013,Bedum,186492.0
2014,Bedum,174753.0
2015,Bedum,178920.0
2016,Bedum,183710.0
2017,Bedum,198676.0
1995,Bellingwedde,67394.0
1996,Bellingwedde,77319.0
1997,Bellingwedde,85095.0
1998,Bellingwedde,93444.0
1999,Bellingwedde,100440.0
2000,Bellingwedde,121655.0
2001,Bellingwedde,160643.0
2002,Bellingwedde,163677.0
2003,Bellingwedde,170894.0
2004,Bellingwedde,160319.0
2005,Bellingwedde,178059.0
2006,Bellingwedde,192215.0
2007,Bellingwedde,192435.0
2008,Bellingwedde,216605.0
2009,Bellingwedde,175959.0
2010,Bellingwedde,176783.0
2011,Bellingwedde,174305.0
2012,Bellingwedde,161163.0
2013,Bellingwedde,153956.0
2014,Bellingwedde,141623.0
2015,Bellingwedde,158765.0
2016,Bellingwedde,173653.0
2017,Bellingwedde,166742.0
1995,Ten Boer,64445.0
1996,Ten Boer,71935.0
1997,Ten Boer,81630.0
1998,Ten Boer,108642.0
1999,Ten Boer,102915.0
2000,Ten Boer,128555.0
2001,Ten Boer,147075.0
2002,Ten Boer,160073.0
2003,Ten Boer,160093.0
2004,Ten Boer,164278.0
2005,Ten Boer,159851.0
2006,Ten Boer,169152.0
2007,Ten Boer,155669.0
2008,Ten Boer,184785.0
2009,Ten Boer,189305.0
2010,Ten Boer,204832.0
2011,Ten Boer,182548.0
2012,Ten Boer,181144.0
2013,Ten Boer,150663.0
2014,Ten Boer,156542.0
2015,Ten Boer,181299.0
2016,Ten Boer,165414.0
2017,Ten Boer,194652.0
1995,Delfzijl,61842.0
1996,Delfzijl,62973.0
1997,Delfzijl,73437.0
1998,Delfzijl,69550.0
1999,Delfzijl,78474.0
2000,Delfzijl,92073.0
2001,Delfzijl,96377.0
2002,Delfzijl,113476.0
2003,Delfzijl,112657.0
2004,Delfzijl,126393.0
2005,Delfzijl,134929.0
2006,Delfzijl,141315.0
2007,Delfzijl,150673.0
2008,Delfzijl,153332.0
2009,Delfzijl,138547.0
2010,Delfzijl,141921.0
2011,Delfzijl,143982.0
2012,Delfzijl,137535.0
2013,Delfzijl,132658.0
2014,Delfzijl,123452.0
2015,Delfzijl,130887.0
2016,Delfzijl,132086.0
2017,Delfzijl,140643.0
1995,Eemsmond,53025.0
1996,Eemsmond,59933.0
1997,Eemsmond,64950.0
1998,Eemsmond,76290.0
1999,Eemsmond,88733.0
2000,Eemsmond,95980.0
2001,Eemsmond,120814.0
2002,Eemsmond,140522.0
2003,Eemsmond,140119.0
2004,Eemsmond,151714.0
2005,Eemsmond,149233.0
2006,Eemsmond,160724.0
2007,Eemsmond,166727.0
2008,Eemsmond,185581.0
2009,Eemsmond,163960.0
2010,Eemsmond,159205.0
2011,Eemsmond,170050.0
2012,Eemsmond,149641.0
2013,Eemsmond,141202.0
2014,Eemsmond,144908.0
2015,Eemsmond,158565.0
2016,Eemsmond,165969.0
2017,Eemsmond,168314.0
1995,Groningen (municipality),62635.0
1996,Groningen (municipality),69727.0
1997,Groningen (municipality),74094.0
1998,Groningen (municipality),77433.0
1999,Groningen (municipality),84859.0
2000,Groningen (municipality),99943.0
2001,Groningen (municipality),116391.0
2002,Groningen (municipality),127692.0
2003,Groningen (municipality),139806.0
2004,Groningen (municipality),146570.0
2005,Groningen (municipality),164280.0
2006,Groningen (municipality),176792.0
2007,Groningen (municipality),185270.0
2008,Groningen (municipality),182934.0
2009,Groningen (municipality),184709.0
2010,Groningen (municipality),180217.0
2011,Groningen (municipality),182373.0
2012,Groningen (municipality),173646.0
2013,Groningen (municipality),165860.0
2014,Groningen (municipality),170483.0
2015,Groningen (municipality),177441.0
2016,Groningen (municipality),186685.0
2017,Groningen (municipality),206996.0
1995,Grootegast,76677.0
1996,Grootegast,84730.0
1997,Grootegast,87186.0
1998,Grootegast,96684.0
1999,Grootegast,125601.0
2000,Grootegast,121065.0
2001,Grootegast,152448.0
2002,Grootegast,175454.0
2003,Grootegast,159568.0
2004,Grootegast,177483.0
2005,Grootegast,185869.0
2006,Grootegast,222201.0
2007,Grootegast,207980.0
2008,Grootegast,217800.0
2009,Grootegast,201117.0
2010,Grootegast,196103.0
2011,Grootegast,163438.0
2012,Grootegast,198198.0
2013,Grootegast,169205.0
2014,Grootegast,176780.0
2015,Grootegast,174379.0
2016,Grootegast,199591.0
2017,Grootegast,200621.0
1995,Haren,120413.0
1996,Haren,127622.0
1997,Haren,144939.0
1998,Haren,151621.0
1999,Haren,167272.0
2000,Haren,209076.0
2001,Haren,244611.0
2002,Haren,240368.0
2003,Haren,244514.0
2004,Haren,291016.0
2005,Haren,309713.0
2006,Haren,301256.0
2007,Haren,324794.0
2008,Haren,339954.0
2009,Haren,329720.0
2010,Haren,296918.0
2011,Haren,346393.0
2012,Haren,311820.0
2013,Haren,301664.0
2014,Haren,287535.0
2015,Haren,302170.0
2016,Haren,314351.0
2017,Haren,332386.0
1995,Hoogezand-Sappemeer,71203.0
1996,Hoogezand-Sappemeer,72662.0
1997,Hoogezand-Sappemeer,75866.0
1998,Hoogezand-Sappemeer,82882.0
1999,Hoogezand-Sappemeer,94139.0
2000,Hoogezand-Sappemeer,105992.0
2001,Hoogezand-Sappemeer,124369.0
2002,Hoogezand-Sappemeer,145410.0
2003,Hoogezand-Sappemeer,137927.0
2004,Hoogezand-Sappemeer,143278.0
2005,Hoogezand-Sappemeer,152832.0
2006,Hoogezand-Sappemeer,163431.0
2007,Hoogezand-Sappemeer,179954.0
2008,Hoogezand-Sappemeer,171688.0
2009,Hoogezand-Sappemeer,179195.0
2010,Hoogezand-Sappemeer,160093.0
2011,Hoogezand-Sappemeer,157539.0
2012,Hoogezand-Sappemeer,174038.0
2013,Hoogezand-Sappemeer,150580.0
2014,Hoogezand-Sappemeer,146387.0
2015,Hoogezand-Sappemeer,160547.0
2016,Hoogezand-Sappemeer,177921.0
2017,Hoogezand-Sappemeer,174784.0
1995,Leek,87214.0
1996,Leek,92234.0
1997,Leek,103897.0
1998,Leek,110023.0
1999,Leek,132574.0
2000,Leek,144676.0
2001,Leek,157158.0
2002,Leek,180722.0
2003,Leek,178711.0
2004,Leek,192649.0
2005,Leek,211868.0
2006,Leek,226347.0
2007,Leek,219173.0
2008,Leek,220834.0
2009,Leek,210421.0
2010,Leek,227435.0
2011,Leek,197775.0
2012,Leek,196821.0
2013,Leek,183983.0
2014,Leek,193449.0
2015,Leek,204618.0
2016,Leek,209002.0
2017,Leek,226543.0
1995,Loppersum,65708.0
1996,Loppersum,65679.0
1997,Loppersum,74255.0
1998,Loppersum,86487.0
1999,Loppersum,93141.0
2000,Loppersum,114180.0
2001,Loppersum,128646.0
2002,Loppersum,152742.0
2003,Loppersum,152407.0
2004,Loppersum,160441.0
2005,Loppersum,160658.0
2006,Loppersum,179773.0
2007,Loppersum,187471.0
2008,Loppersum,199747.0
2009,Loppersum,176819.0
2010,Loppersum,169303.0
2011,Loppersum,183440.0
2012,Loppersum,171097.0
2013,Loppersum,149523.0
2014,Loppersum,152793.0
2015,Loppersum,146694.0
2016,Loppersum,194173.0
2017,Loppersum,175980.0
1995,De Marne,63190.0
1996,De Marne,58854.0
1997,De Marne,67625.0
1998,De Marne,66360.0
1999,De Marne,79870.0
2000,De Marne,91475.0
2001,De Marne,104794.0
2002,De Marne,116957.0
2003,De Marne,128543.0
2004,De Marne,141727.0
2005,De Marne,149387.0
2006,De Marne,159167.0
2007,De Marne,156342.0
2008,De Marne,177845.0
2009,De Marne,155480.0
2010,De Marne,143059.0
2011,De Marne,136878.0
2012,De Marne,137535.0
2013,De Marne,133135.0
2014,De Marne,138148.0
2015,De Marne,137543.0
2016,De Marne,137381.0
2017,De Marne,152106.0
1995,Marum,86211.0
1996,Marum,93036.0
1997,Marum,111365.0
1998,Marum,115570.0
1999,Marum,134770.0
2000,Marum,164593.0
2001,Marum,159312.0
2002,Marum,197097.0
2003,Marum,178925.0
2004,Marum,192710.0
2005,Marum,205986.0
2006,Marum,233642.0
2007,Marum,237529.0
2008,Marum,231765.0
2009,Marum,220929.0
2010,Marum,190494.0
2011,Marum,203258.0
2012,Marum,185055.0
2013,Marum,181947.0
2014,Marum,198368.0
2015,Marum,200709.0
2016,Marum,221970.0
2017,Marum,237583.0
1995,Menterwolde,67499.0
