Periods,Region,Price
1995,Beek (L.),92607.0
1996,Beek (L.),105391.0
1997,Beek (L.),120811.0
1998,Beek (L.),125891.0
1999,Beek (L.),153270.0
2000,Beek (L.),161134.0
2001,Beek (L.),165641.0
2002,Beek (L.),164110.0
2003,Beek (L.),184807.0
2004,Beek (L.),183769.0
2005,Beek (L.),185888.0
2006,Beek (L.),194649.0
2007,Beek (L.),213428.0
2008,Beek (L.),202607.0
2009,Beek (L.),188678.0
2010,Beek (L.),181157.0
2011,Beek (L.),189860.0
2012,Beek (L.),185433.0
2013,Beek (L.),176182.0
2014,Beek (L.),185729.0
2015,Beek (L.),187159.0
2016,Beek (L.),207205.0
2017,Beek (L.),195019.0
1995,Beesel,93275.0
1996,Beesel,104343.0
1997,Beesel,102795.0
1998,Beesel,120309.0
1999,Beesel,135072.0
2000,Beesel,154327.0
2001,Beesel,163815.0
2002,Beesel,156247.0
2003,Beesel,180427.0
2004,Beesel,205644.0
2005,Beesel,204479.0
2006,Beesel,204799.0
2007,Beesel,217854.0
2008,Beesel,213018.0
2009,Beesel,190880.0
2010,Beesel,187712.0
2011,Beesel,209554.0
2012,Beesel,213846.0
2013,Beesel,195273.0
2014,Beesel,189929.0
2015,Beesel,198705.0
2016,Beesel,196107.0
2017,Beesel,221375.0
1995,Bergen (L.),96960.0
1996,Bergen (L.),106392.0
1997,Bergen (L.),114319.0
1998,Bergen (L.),139256.0
1999,Bergen (L.),155179.0
2000,Bergen (L.),199084.0
2001,Bergen (L.),178302.0
2002,Bergen (L.),196084.0
2003,Bergen (L.),186870.0
2004,Bergen (L.),209835.0
2005,Bergen (L.),228350.0
2006,Bergen (L.),246969.0
2007,Bergen (L.),238177.0
2008,Bergen (L.),259422.0
2009,Bergen (L.),230157.0
2010,Bergen (L.),205668.0
2011,Bergen (L.),205709.0
2012,Bergen (L.),220671.0
2013,Bergen (L.),175089.0
2014,Bergen (L.),188050.0
2015,Bergen (L.),188826.0
2016,Bergen (L.),213867.0
2017,Bergen (L.),221542.0
1995,Brunssum,74695.0
1996,Brunssum,84034.0
1997,Brunssum,93215.0
1998,Brunssum,80852.0
1999,Brunssum,120394.0
2000,Brunssum,135111.0
2001,Brunssum,136424.0
2002,Brunssum,148031.0
2003,Brunssum,129840.0
2004,Brunssum,143360.0
2005,Brunssum,148063.0
2006,Brunssum,159490.0
2007,Brunssum,153075.0
2008,Brunssum,156717.0
2009,Brunssum,154040.0
2010,Brunssum,140607.0
2011,Brunssum,146524.0
2012,Brunssum,146857.0
2013,Brunssum,129739.0
2014,Brunssum,135537.0
2015,Brunssum,148880.0
2016,Brunssum,149486.0
2017,Brunssum,156069.0
1995,Gennep,99812.0
1996,Gennep,112494.0
1997,Gennep,131398.0
1998,Gennep,154616.0
1999,Gennep,160541.0
2000,Gennep,176163.0
2001,Gennep,222197.0
2002,Gennep,193080.0
2003,Gennep,231089.0
2004,Gennep,224265.0
2005,Gennep,233217.0
2006,Gennep,239692.0
2007,Gennep,247171.0
2008,Gennep,261961.0
2009,Gennep,268362.0
2010,Gennep,227177.0
2011,Gennep,228314.0
2012,Gennep,222468.0
2013,Gennep,191687.0
2014,Gennep,207167.0
2015,Gennep,202459.0
2016,Gennep,209471.0
2017,Gennep,246870.0
1995,Heerlen,79269.0
1996,Heerlen,84871.0
1997,Heerlen,91170.0
1998,Heerlen,96015.0
1999,Heerlen,110819.0
2000,Heerlen,125627.0
2001,Heerlen,129077.0
2002,Heerlen,132531.0
2003,Heerlen,138594.0
2004,Heerlen,138254.0
2005,Heerlen,142184.0
2006,Heerlen,151749.0
2007,Heerlen,152629.0
2008,Heerlen,154325.0
2009,Heerlen,152164.0
2010,Heerlen,143523.0
2011,Heerlen,148649.0
2012,Heerlen,138848.0
2013,Heerlen,132376.0
2014,Heerlen,140735.0
2015,Heerlen,144517.0
2016,Heerlen,152276.0
2017,Heerlen,150459.0
1995,Kerkrade,85999.0
1996,Kerkrade,91476.0
1997,Kerkrade,94666.0
1998,Kerkrade,98477.0
1999,Kerkrade,110922.0
2000,Kerkrade,129601.0
2001,Kerkrade,124263.0
2002,Kerkrade,124813.0
2003,Kerkrade,132238.0
2004,Kerkrade,133140.0
2005,Kerkrade,131913.0
2006,Kerkrade,147406.0
2007,Kerkrade,151591.0
