Periods,Region,Price
1995,Aalburg,102023.0
1996,Aalburg,115362.0
1997,Aalburg,130831.0
1998,Aalburg,141027.0
1999,Aalburg,171212.0
2000,Aalburg,212336.0
2001,Aalburg,239708.0
2002,Aalburg,231182.0
2003,Aalburg,258579.0
2004,Aalburg,243096.0
2005,Aalburg,281099.0
2006,Aalburg,278193.0
2007,Aalburg,296221.0
2008,Aalburg,286518.0
2009,Aalburg,242576.0
2010,Aalburg,276192.0
2011,Aalburg,266466.0
2012,Aalburg,250662.0
2013,Aalburg,229378.0
2014,Aalburg,229823.0
2015,Aalburg,230525.0
2016,Aalburg,248188.0
2017,Aalburg,279988.0
1995,Asten,99123.0
1996,Asten,125457.0
1997,Asten,146036.0
1998,Asten,154023.0
1999,Asten,172245.0
2000,Asten,205914.0
2001,Asten,212491.0
2002,Asten,238882.0
2003,Asten,251999.0
2004,Asten,244880.0
2005,Asten,282994.0
2006,Asten,263722.0
2007,Asten,298471.0
2008,Asten,337319.0
2009,Asten,298684.0
2010,Asten,292281.0
2011,Asten,293181.0
2012,Asten,245317.0
2013,Asten,249721.0
2014,Asten,247823.0
2015,Asten,264697.0
2016,Asten,268162.0
2017,Asten,292594.0
1995,Baarle-Nassau,118689.0
1996,Baarle-Nassau,124574.0
1997,Baarle-Nassau,190352.0
1998,Baarle-Nassau,160552.0
1999,Baarle-Nassau,170309.0
2000,Baarle-Nassau,205439.0
2001,Baarle-Nassau,244477.0
2002,Baarle-Nassau,273442.0
2003,Baarle-Nassau,231338.0
2004,Baarle-Nassau,256334.0
2005,Baarle-Nassau,299513.0
2006,Baarle-Nassau,265515.0
2007,Baarle-Nassau,265121.0
2008,Baarle-Nassau,296111.0
2009,Baarle-Nassau,273334.0
2010,Baarle-Nassau,268023.0
2011,Baarle-Nassau,292993.0
2012,Baarle-Nassau,263403.0
2013,Baarle-Nassau,242549.0
2014,Baarle-Nassau,251776.0
2015,Baarle-Nassau,254242.0
2016,Baarle-Nassau,266280.0
2017,Baarle-Nassau,274709.0
1995,Bergen op Zoom,84558.0
1996,Bergen op Zoom,89720.0
1997,Bergen op Zoom,104208.0
1998,Bergen op Zoom,112199.0
1999,Bergen op Zoom,126100.0
2000,Bergen op Zoom,139511.0
2001,Bergen op Zoom,168464.0
2002,Bergen op Zoom,183442.0
2003,Bergen op Zoom,181511.0
2004,Bergen op Zoom,201106.0
2005,Bergen op Zoom,212656.0
2006,Bergen op Zoom,225049.0
2007,Bergen op Zoom,230576.0
2008,Bergen op Zoom,227246.0
2009,Bergen op Zoom,212761.0
2010,Bergen op Zoom,222397.0
2011,Bergen op Zoom,215816.0
2012,Bergen op Zoom,208454.0
2013,Bergen op Zoom,195589.0
2014,Bergen op Zoom,200113.0
2015,Bergen op Zoom,207778.0
2016,Bergen op Zoom,223748.0
2017,Bergen op Zoom,217722.0
1995,Bernheze,111791.0
1996,Bernheze,126933.0
1997,Bernheze,149614.0
1998,Bernheze,170229.0
1999,Bernheze,184507.0
2000,Bernheze,221037.0
2001,Bernheze,254587.0
2002,Bernheze,265300.0
2003,Bernheze,283958.0
2004,Bernheze,289790.0
2005,Bernheze,293469.0
2006,Bernheze,304250.0
2007,Bernheze,345875.0
2008,Bernheze,346803.0
2009,Bernheze,311701.0
2010,Bernheze,318487.0
2011,Bernheze,274040.0
2012,Bernheze,270050.0
2013,Bernheze,241832.0
2014,Bernheze,248280.0
2015,Bernheze,262080.0
2016,Bernheze,264041.0
2017,Bernheze,292958.0
1995,Best,94912.0
1996,Best,86929.0
1997,Best,132645.0
1998,Best,142587.0
1999,Best,157707.0
2000,Best,196717.0
2001,Best,212883.0
2002,Best,241772.0
2003,Best,250245.0
2004,Best,251461.0
2005,Best,271966.0
2006,Best,295863.0
2007,Best,321160.0
2008,Best,307978.0
2009,Best,311592.0
2010,Best,261181.0
2011,Best,278445.0
2012,Best,245611.0
2013,Best,233978.0
2014,Best,257869.0
2015,Best,244359.0
2016,Best,271229.0
2017,Best,291684.0
1995,Boekel,122631.0
1996,Boekel,132519.0
1997,Boekel,154767.0
1998,Boekel,175843.0
1999,Boekel,198365.0
2000,Boekel,229042.0
2001,Boekel,226782.0
2002,Boekel,257380.0
2003,Boekel,265054.0
2004,Boekel,261202.0
2005,Boekel,283692.0
2006,Boekel,314195.0
2007,Boekel,309249.0
2008,Boekel,306493.0
2009,Boekel,301074.0
2010,Boekel,258077.0
2011,Boekel,240743.0
2012,Boekel,247967.0
2013,Boekel,247424.0
2014,Boekel,232914.0
2015,Boekel,234539.0
2016,Boekel,252999.0
2017,Boekel,264489.0
1995,Boxmeer,113374.0
1996,Boxmeer,116946.0
1997,Boxmeer,143646.0
1998,Boxmeer,145874.0
1999,Boxmeer,168802.0
2000,Boxmeer,193885.0
2001,Boxmeer,218754.0
2002,Boxmeer,228603.0
2003,Boxmeer,252918.0
2004,Boxmeer,244859.0
2005,Boxmeer,267002.0
2006,Boxmeer,277408.0
2007,Boxmeer,286030.0
2008,Boxmeer,277639.0
2009,Boxmeer,243103.0
2010,Boxmeer,263856.0
2011,Boxmeer,247226.0
2012,Boxmeer,256254.0
2013,Boxmeer,233350.0
2014,Boxmeer,212156.0
2015,Boxmeer,232398.0
2016,Boxmeer,237758.0
2017,Boxmeer,243723.0
1995,Boxtel,100616.0
1996,Boxtel,120629.0
1997,Boxtel,127662.0
1998,Boxtel,152866.0
1999,Boxtel,153102.0
2000,Boxtel,199043.0
2001,Boxtel,235002.0
2002,Boxtel,248297.0
2003,Boxtel,281566.0
2004,Boxtel,282726.0
2005,Boxtel,272690.0
2006,Boxtel,281068.0
2007,Boxtel,308775.0
2008,Boxtel,297264.0
2009,Boxtel,273632.0
2010,Boxtel,285257.0
2011,Boxtel,256555.0
2012,Boxtel,264603.0
2013,Boxtel,231205.0
2014,Boxtel,242196.0
2015,Boxtel,246872.0
2016,Boxtel,268053.0
2017,Boxtel,282739.0
1995,Breda,99267.0
1996,Breda,107490.0
1997,Breda,124932.0
1998,Breda,127866.0
1999,Breda,149779.0
2000,Breda,166012.0
2001,Breda,197668.0
2002,Breda,202877.0
2003,Breda,219811.0
2004,Breda,221867.0
2005,Breda,232403.0
2006,Breda,253467.0
2007,Breda,265794.0
2008,Breda,286107.0
2009,Breda,267302.0
2010,Breda,268988.0
2011,Breda,266000.0
2012,Breda,256421.0
2013,Breda,240122.0
2014,Breda,244255.0
2015,Breda,246592.0
2016,Breda,266550.0
2017,Breda,295568.0
1995,Cuijk,95679.0
1996,Cuijk,94987.0
1997,Cuijk,114186.0
1998,Cuijk,119821.0
1999,Cuijk,144730.0
2000,Cuijk,179030.0
2001,Cuijk,183579.0
2002,Cuijk,201601.0
2003,Cuijk,204440.0
2004,Cuijk,219033.0
2005,Cuijk,207321.0
2006,Cuijk,246616.0
2007,Cuijk,244668.0
2008,Cuijk,255307.0
2009,Cuijk,240389.0
2010,Cuijk,232083.0
2011,Cuijk,239805.0
2012,Cuijk,216893.0
2013,Cuijk,192967.0
2014,Cuijk,186508.0
2015,Cuijk,200141.0
2016,Cuijk,206252.0
2017,Cuijk,220711.0
1995,Deurne,109419.0
1996,Deurne,130665.0
1997,Deurne,152479.0
1998,Deurne,163456.0
1999,Deurne,202888.0
2000,Deurne,229485.0
2001,Deurne,230186.0
2002,Deurne,232351.0
2003,Deurne,241205.0
2004,Deurne,234874.0
2005,Deurne,257527.0
2006,Deurne,287285.0
2007,Deurne,291060.0
2008,Deurne,322813.0
2009,Deurne,306662.0
2010,Deurne,282437.0
2011,Deurne,276036.0
2012,Deurne,262824.0
2013,Deurne,243753.0
2014,Deurne,217151.0
2015,Deurne,237365.0
2016,Deurne,261610.0
2017,Deurne,288606.0
1995,Dongen,104406.0
1996,Dongen,107383.0
1997,Dongen,121248.0
1998,Dongen,136209.0
1999,Dongen,153503.0
2000,Dongen,167237.0
2001,Dongen,218460.0
2002,Dongen,219766.0
2003,Dongen,238825.0
2004,Dongen,243004.0
2005,Dongen,247593.0
2006,Dongen,248336.0
2007,Dongen,267052.0
2008,Dongen,273555.0
2009,Dongen,265001.0
2010,Dongen,229702.0
2011,Dongen,224541.0
2012,Dongen,209924.0
2013,Dongen,201995.0
2014,Dongen,213406.0
2015,Dongen,231385.0
2016,Dongen,242023.0
2017,Dongen,248826.0
1995,Eersel,119626.0
1996,Eersel,131397.0
1997,Eersel,158558.0
1998,Eersel,172642.0
1999,Eersel,197891.0
2000,Eersel,236444.0
2001,Eersel,270796.0
2002,Eersel,282300.0
2003,Eersel,285209.0
2004,Eersel,297126.0
2005,Eersel,301908.0
2006,Eersel,338013.0
2007,Eersel,343247.0
2008,Eersel,340647.0
2009,Eersel,346686.0
2010,Eersel,324326.0
2011,Eersel,327081.0
2012,Eersel,286226.0
2013,Eersel,267229.0
2014,Eersel,278325.0
2015,Eersel,277859.0
2016,Eersel,280998.0
2017,Eersel,303937.0
1995,Eindhoven,87095.0
1996,Eindhoven,99972.0
1997,Eindhoven,113902.0
1998,Eindhoven,129376.0
1999,Eindhoven,151700.0
2000,Eindhoven,178190.0
2001,Eindhoven,188035.0
2002,Eindhoven,200976.0
2003,Eindhoven,200507.0
2004,Eindhoven,203075.0
2005,Eindhoven,211986.0
2006,Eindhoven,218448.0
2007,Eindhoven,229410.0
2008,Eindhoven,240779.0
2009,Eindhoven,222666.0
2010,Eindhoven,218423.0
2011,Eindhoven,215421.0
2012,Eindhoven,208218.0
2013,Eindhoven,195444.0
2014,Eindhoven,206208.0
2015,Eindhoven,212919.0
2016,Eindhoven,227320.0
2017,Eindhoven,258287.0
1995,Etten-Leur,105668.0
1996,Etten-Leur,114682.0
1997,Etten-Leur,119769.0
1998,Etten-Leur,132757.0
1999,Etten-Leur,142633.0
2000,Etten-Leur,163714.0
2001,Etten-Leur,186058.0
2002,Etten-Leur,216599.0
2003,Etten-Leur,219091.0
2004,Etten-Leur,212987.0
2005,Etten-Leur,223696.0
2006,Etten-Leur,238986.0
2007,Etten-Leur,258311.0
2008,Etten-Leur,267002.0
2009,Etten-Leur,251537.0
2010,Etten-Leur,247087.0
2011,Etten-Leur,234897.0
2012,Etten-Leur,239999.0
2013,Etten-Leur,215234.0
2014,Etten-Leur,227560.0
2015,Etten-Leur,220577.0
2016,Etten-Leur,245236.0
2017,Etten-Leur,269692.0
1995,Geertruidenberg,92103.0
1996,Geertruidenberg,103932.0
1997,Geertruidenberg,122851.0
1998,Geertruidenberg,134576.0
1999,Geertruidenberg,153052.0
2000,Geertruidenberg,177081.0
2001,Geertruidenberg,195956.0
2002,Geertruidenberg,222644.0
2003,Geertruidenberg,215200.0
2004,Geertruidenberg,225435.0
2005,Geertruidenberg,224638.0
2006,Geertruidenberg,240063.0
2007,Geertruidenberg,247997.0
2008,Geertruidenberg,241810.0
2009,Geertruidenberg,225819.0
2010,Geertruidenberg,208870.0
2011,Geertruidenberg,213601.0
2012,Geertruidenberg,217159.0
2013,Geertruidenberg,197320.0
2014,Geertruidenberg,202810.0
2015,Geertruidenberg,208660.0
2016,Geertruidenberg,231595.0
2017,Geertruidenberg,233877.0
1995,Gilze en Rijen,107707.0
1996,Gilze en Rijen,123662.0
1997,Gilze en Rijen,124995.0
1998,Gilze en Rijen,136824.0
1999,Gilze en Rijen,150101.0
2000,Gilze en Rijen,175828.0
2001,Gilze en Rijen,199796.0
2002,Gilze en Rijen,222051.0
2003,Gilze en Rijen,211757.0
2004,Gilze en Rijen,236227.0
2005,Gilze en Rijen,247158.0
2006,Gilze en Rijen,257800.0
2007,Gilze en Rijen,254266.0
2008,Gilze en Rijen,260267.0
2009,Gilze en Rijen,265917.0
2010,Gilze en Rijen,254235.0
2011,Gilze en Rijen,237583.0
2012,Gilze en Rijen,245050.0
2013,Gilze en Rijen,227470.0
2014,Gilze en Rijen,216583.0
2015,Gilze en Rijen,230286.0
2016,Gilze en Rijen,250564.0
2017,Gilze en Rijen,256422.0
1995,Goirle,114207.0
1996,Goirle,125484.0
1997,Goirle,166354.0
1998,Goirle,147344.0
1999,Goirle,175761.0
2000,Goirle,201713.0
2001,Goirle,228236.0
2002,Goirle,238754.0
2003,Goirle,258645.0
2004,Goirle,269988.0
2005,Goirle,277226.0
2006,Goirle,300520.0
2007,Goirle,307738.0
2008,Goirle,320266.0
2009,Goirle,280674.0
2010,Goirle,281198.0
2011,Goirle,253693.0
2012,Goirle,263430.0
2013,Goirle,255196.0
2014,Goirle,262237.0
2015,Goirle,251616.0
2016,Goirle,264181.0
2017,Goirle,289077.0
1995,Grave,93333.0
1996,Grave,101132.0
1997,Grave,119724.0
1998,Grave,134549.0
1999,Grave,155267.0
2000,Grave,183949.0
2001,Grave,185962.0
2002,Grave,197506.0
2003,Grave,218306.0
2004,Grave,209944.0
2005,Grave,217837.0
2006,Grave,246470.0
2007,Grave,240687.0
2008,Grave,254210.0
2009,Grave,252086.0
2010,Grave,240218.0
2011,Grave,226750.0
2012,Grave,210497.0
2013,Grave,212666.0
2014,Grave,187289.0
2015,Grave,203314.0
2016,Grave,220686.0
2017,Grave,227373.0
1995,Haaren,82007.0
1996,Haaren,155209.0
1997,Haaren,167973.0
1998,Haaren,211968.0
1999,Haaren,219631.0
2000,Haaren,278230.0
2001,Haaren,270317.0
2002,Haaren,335887.0
2003,Haaren,312913.0
2004,Haaren,342446.0
2005,Haaren,373042.0
2006,Haaren,351334.0
2007,Haaren,386026.0
2008,Haaren,422116.0
2009,Haaren,426483.0
2010,Haaren,359858.0
2011,Haaren,338417.0
2012,Haaren,312461.0
2013,Haaren,288510.0
2014,Haaren,292871.0
2015,Haaren,322255.0
2016,Haaren,312743.0
2017,Haaren,345336.0
1995,Helmond,81706.0
1996,Helmond,93911.0
1997,Helmond,98451.0
1998,Helmond,114992.0
1999,Helmond,140734.0
2000,Helmond,178004.0
2001,Helmond,190243.0
2002,Helmond,200408.0
2003,Helmond,205829.0
2004,Helmond,221262.0
2005,Helmond,230095.0
2006,Helmond,243798.0
2007,Helmond,258379.0
2008,Helmond,259999.0
2009,Helmond,237626.0
2010,Helmond,232173.0
2011,Helmond,240362.0
2012,Helmond,231730.0
2013,Helmond,202327.0
2014,Helmond,218952.0
2015,Helmond,213328.0
