Periods,Region,Price
1995,Aalsmeer,115081.0
1996,Aalsmeer,126116.0
1997,Aalsmeer,136515.0
1998,Aalsmeer,150441.0
1999,Aalsmeer,201630.0
2000,Aalsmeer,213742.0
2001,Aalsmeer,251666.0
2002,Aalsmeer,257608.0
2003,Aalsmeer,282494.0
2004,Aalsmeer,261497.0
2005,Aalsmeer,286247.0
2006,Aalsmeer,306764.0
2007,Aalsmeer,330582.0
2008,Aalsmeer,304057.0
2009,Aalsmeer,302299.0
2010,Aalsmeer,305355.0
2011,Aalsmeer,314737.0
2012,Aalsmeer,265452.0
2013,Aalsmeer,288004.0
2014,Aalsmeer,271638.0
2015,Aalsmeer,277057.0
2016,Aalsmeer,332572.0
2017,Aalsmeer,375983.0
1995,Alkmaar,84638.0
1996,Alkmaar,91749.0
1997,Alkmaar,101826.0
1998,Alkmaar,111290.0
1999,Alkmaar,128127.0
2000,Alkmaar,141369.0
2001,Alkmaar,158305.0
2002,Alkmaar,178507.0
2003,Alkmaar,181514.0
2004,Alkmaar,185798.0
2005,Alkmaar,190238.0
2006,Alkmaar,203969.0
2007,Alkmaar,214349.0
2008,Alkmaar,219564.0
2009,Alkmaar,210024.0
2010,Alkmaar,211926.0
2011,Alkmaar,206264.0
2012,Alkmaar,201883.0
2013,Alkmaar,187931.0
2014,Alkmaar,195094.0
2015,Alkmaar,194809.0
2016,Alkmaar,214497.0
2017,Alkmaar,238071.0
1995,Amstelveen,110371.0
1996,Amstelveen,120575.0
1997,Amstelveen,138260.0
1998,Amstelveen,160015.0
1999,Amstelveen,199951.0
2000,Amstelveen,244012.0
2001,Amstelveen,264902.0
2002,Amstelveen,270571.0
2003,Amstelveen,264715.0
2004,Amstelveen,274697.0
2005,Amstelveen,286003.0
2006,Amstelveen,295680.0
2007,Amstelveen,318682.0
2008,Amstelveen,337305.0
2009,Amstelveen,308892.0
2010,Amstelveen,312791.0
2011,Amstelveen,318466.0
2012,Amstelveen,306621.0
2013,Amstelveen,280407.0
2014,Amstelveen,305619.0
2015,Amstelveen,331763.0
2016,Amstelveen,363088.0
2017,Amstelveen,420478.0
1995,Amsterdam,98008.0
1996,Amsterdam,110420.0
1997,Amsterdam,126024.0
1998,Amsterdam,151254.0
1999,Amsterdam,189227.0
2000,Amsterdam,224938.0
2001,Amsterdam,247082.0
2002,Amsterdam,251413.0
2003,Amsterdam,231768.0
2004,Amsterdam,227679.0
2005,Amsterdam,238189.0
2006,Amsterdam,257215.0
2007,Amsterdam,285587.0
2008,Amsterdam,305206.0
2009,Amsterdam,280670.0
2010,Amsterdam,281206.0
2011,Amsterdam,284668.0
2012,Amsterdam,270507.0
2013,Amsterdam,256308.0
2014,Amsterdam,272438.0
2015,Amsterdam,303925.0
2016,Amsterdam,358976.0
2017,Amsterdam,407670.0
1995,Beemster,122907.0
1996,Beemster,134806.0
1997,Beemster,150486.0
1998,Beemster,176991.0
1999,Beemster,232898.0
2000,Beemster,232456.0
2001,Beemster,254571.0
2002,Beemster,292357.0
2003,Beemster,253488.0
2004,Beemster,336304.0
2005,Beemster,297048.0
2006,Beemster,313337.0
2007,Beemster,349040.0
2008,Beemster,304381.0
2009,Beemster,323214.0
2010,Beemster,308549.0
2011,Beemster,326688.0
2012,Beemster,243837.0
2013,Beemster,205265.0
2014,Beemster,259131.0
2015,Beemster,278733.0
2016,Beemster,283115.0
2017,Beemster,318243.0
1995,Bergen (NH.),185870.0
1996,Bergen (NH.),195648.0
1997,Bergen (NH.),205471.0
1998,Bergen (NH.),246732.0
1999,Bergen (NH.),305633.0
2000,Bergen (NH.),370091.0
2001,Bergen (NH.),356976.0
2002,Bergen (NH.),358303.0
2003,Bergen (NH.),331731.0
2004,Bergen (NH.),364122.0
2005,Bergen (NH.),370721.0
2006,Bergen (NH.),416536.0
2007,Bergen (NH.),447451.0
2008,Bergen (NH.),443170.0
2009,Bergen (NH.),457041.0
2010,Bergen (NH.),412441.0
2011,Bergen (NH.),437968.0
2012,Bergen (NH.),361791.0
2013,Bergen (NH.),341270.0
2014,Bergen (NH.),334932.0
2015,Bergen (NH.),356475.0
2016,Bergen (NH.),403609.0
2017,Bergen (NH.),463173.0
1995,Beverwijk,79148.0
1996,Beverwijk,90546.0
1997,Beverwijk,100894.0
1998,Beverwijk,107588.0
1999,Beverwijk,127498.0
2000,Beverwijk,144980.0
2001,Beverwijk,152905.0
2002,Beverwijk,171163.0
2003,Beverwijk,180813.0
2004,Beverwijk,180204.0
2005,Beverwijk,195639.0
2006,Beverwijk,199201.0
2007,Beverwijk,198193.0
2008,Beverwijk,203237.0
2009,Beverwijk,189753.0
2010,Beverwijk,195648.0
2011,Beverwijk,197874.0
2012,Beverwijk,193932.0
2013,Beverwijk,170642.0
2014,Beverwijk,176332.0
2015,Beverwijk,194383.0
2016,Beverwijk,205799.0
2017,Beverwijk,224475.0
1995,Blaricum,224507.0
1996,Blaricum,277904.0
1997,Blaricum,279800.0
1998,Blaricum,335897.0
1999,Blaricum,491949.0
2000,Blaricum,670412.0
2001,Blaricum,518571.0
2002,Blaricum,613507.0
2003,Blaricum,485110.0
