Periods,Region,Price
1995,Almelo,72108.0
1996,Almelo,75984.0
1997,Almelo,82409.0
1998,Almelo,90416.0
1999,Almelo,100990.0
2000,Almelo,120928.0
2001,Almelo,137626.0
2002,Almelo,148314.0
2003,Almelo,149677.0
2004,Almelo,155412.0
2005,Almelo,163863.0
2006,Almelo,174661.0
2007,Almelo,178376.0
2008,Almelo,172286.0
2009,Almelo,171564.0
2010,Almelo,172505.0
2011,Almelo,170489.0
2012,Almelo,171217.0
2013,Almelo,152775.0
2014,Almelo,164312.0
2015,Almelo,157127.0
2016,Almelo,169101.0
2017,Almelo,177040.0
1995,Borne,89463.0
1996,Borne,104039.0
1997,Borne,113746.0
1998,Borne,121319.0
1999,Borne,149433.0
2000,Borne,187520.0
2001,Borne,184980.0
2002,Borne,207984.0
2003,Borne,206371.0
2004,Borne,227542.0
2005,Borne,209917.0
2006,Borne,221374.0
2007,Borne,244213.0
2008,Borne,252368.0
2009,Borne,224637.0
2010,Borne,228279.0
2011,Borne,210798.0
2012,Borne,226982.0
2013,Borne,195900.0
2014,Borne,208272.0
2015,Borne,206915.0
2016,Borne,230277.0
2017,Borne,232211.0
1995,Dalfsen,117029.0
1996,Dalfsen,128331.0
1997,Dalfsen,146641.0
1998,Dalfsen,151750.0
1999,Dalfsen,163577.0
2000,Dalfsen,193233.0
2001,Dalfsen,230321.0
2002,Dalfsen,225394.0
2003,Dalfsen,236780.0
2004,Dalfsen,250168.0
2005,Dalfsen,239137.0
2006,Dalfsen,256939.0
2007,Dalfsen,277665.0
2008,Dalfsen,276697.0
2009,Dalfsen,260821.0
2010,Dalfsen,239302.0
2011,Dalfsen,231795.0
2012,Dalfsen,227427.0
2013,Dalfsen,227766.0
2014,Dalfsen,237096.0
2015,Dalfsen,234903.0
2016,Dalfsen,254193.0
2017,Dalfsen,260435.0
1995,Deventer,70509.0
1996,Deventer,79072.0
1997,Deventer,87390.0
1998,Deventer,96038.0
1999,Deventer,118588.0
2000,Deventer,147520.0
2001,Deventer,166067.0
2002,Deventer,172561.0
2003,Deventer,184536.0
2004,Deventer,184453.0
2005,Deventer,192965.0
2006,Deventer,200673.0
2007,Deventer,210984.0
2008,Deventer,211700.0
2009,Deventer,206932.0
2010,Deventer,205165.0
2011,Deventer,214811.0
2012,Deventer,203303.0
2013,Deventer,180761.0
2014,Deventer,196528.0
2015,Deventer,194410.0
2016,Deventer,207765.0
2017,Deventer,226791.0
1995,Enschede,74311.0
1996,Enschede,81142.0
1997,Enschede,87987.0
1998,Enschede,90297.0
1999,Enschede,106161.0
2000,Enschede,119080.0
2001,Enschede,137278.0
2002,Enschede,146872.0
2003,Enschede,157615.0
2004,Enschede,163434.0
2005,Enschede,166776.0
2006,Enschede,175148.0
2007,Enschede,181149.0
2008,Enschede,183827.0
2009,Enschede,179685.0
2010,Enschede,177524.0
2011,Enschede,168291.0
2012,Enschede,168652.0
2013,Enschede,159085.0
2014,Enschede,163760.0
2015,Enschede,171755.0
2016,Enschede,182901.0
2017,Enschede,202828.0
1995,Haaksbergen,101745.0
1996,Haaksbergen,93730.0
1997,Haaksbergen,122635.0
1998,Haaksbergen,131988.0
1999,Haaksbergen,153657.0
2000,Haaksbergen,192519.0
2001,Haaksbergen,182812.0
2002,Haaksbergen,191156.0
2003,Haaksbergen,207216.0
2004,Haaksbergen,214467.0
2005,Haaksbergen,229458.0
2006,Haaksbergen,222416.0
2007,Haaksbergen,240848.0
2008,Haaksbergen,251791.0
2009,Haaksbergen,223994.0
2010,Haaksbergen,225473.0
2011,Haaksbergen,229752.0
2012,Haaksbergen,228728.0
2013,Haaksbergen,206305.0
2014,Haaksbergen,219284.0
2015,Haaksbergen,211798.0
2016,Haaksbergen,223004.0
2017,Haaksbergen,244344.0
1995,Hardenberg,82666.0
1996,Hardenberg,98243.0
1997,Hardenberg,107286.0
1998,Hardenberg,106735.0
1999,Hardenberg,141271.0
2000,Hardenberg,159893.0
2001,Hardenberg,176531.0
2002,Hardenberg,171850.0
2003,Hardenberg,176688.0
2004,Hardenberg,199763.0
2005,Hardenberg,203574.0
2006,Hardenberg,190525.0
2007,Hardenberg,199710.0
2008,Hardenberg,217521.0
2009,Hardenberg,206173.0
2010,Hardenberg,202037.0
2011,Hardenberg,208889.0
2012,Hardenberg,198829.0
2013,Hardenberg,190487.0
2014,Hardenberg,198362.0
2015,Hardenberg,192597.0
2016,Hardenberg,211334.0
2017,Hardenberg,218144.0
1995,Hellendoorn,91042.0
1996,Hellendoorn,107832.0
1997,Hellendoorn,124925.0
1998,Hellendoorn,128829.0
1999,Hellendoorn,144842.0
2000,Hellendoorn,170865.0
2001,Hellendoorn,191994.0
2002,Hellendoorn,206850.0
2003,Hellendoorn,210339.0
2004,Hellendoorn,212020.0
2005,Hellendoorn,221999.0
2006,Hellendoorn,249856.0
2007,Hellendoorn,234786.0
2008,Hellendoorn,253571.0
2009,Hellendoorn,235707.0
2010,Hellendoorn,237147.0
2011,Hellendoorn,226722.0
2012,Hellendoorn,213532.0
2013,Hellendoorn,211509.0
2014,Hellendoorn,207090.0
2015,Hellendoorn,215075.0
2016,Hellendoorn,231536.0
2017,Hellendoorn,241428.0
1995,Hengelo (O.),80673.0
1996,Hengelo (O.),84993.0
1997,Hengelo (O.),102755.0
1998,Hengelo (O.),113750.0
1999,Hengelo (O.),122856.0
2000,Hengelo (O.),145539.0
2001,Hengelo (O.),159027.0
2002,Hengelo (O.),163791.0
2003,Hengelo (O.),171258.0
2004,Hengelo (O.),174551.0
2005,Hengelo (O.),184516.0
2006,Hengelo (O.),195360.0
2007,Hengelo (O.),204368.0
2008,Hengelo (O.),211691.0
2009,Hengelo (O.),198268.0
2010,Hengelo (O.),191882.0
2011,Hengelo (O.),196713.0
2012,Hengelo (O.),180823.0
2013,Hengelo (O.),171640.0
2014,Hengelo (O.),172654.0
2015,Hengelo (O.),175274.0
2016,Hengelo (O.),188084.0
2017,Hengelo (O.),201845.0
1995,Kampen,74369.0
1996,Kampen,82519.0
1997,Kampen,92334.0
1998,Kampen,96545.0
1999,Kampen,108441.0
2000,Kampen,131882.0
2001,Kampen,159278.0
2002,Kampen,171426.0
2003,Kampen,186241.0
2004,Kampen,185951.0
2005,Kampen,197167.0
2006,Kampen,214869.0
2007,Kampen,198050.0
2008,Kampen,200039.0
2009,Kampen,209511.0
2010,Kampen,202032.0
2011,Kampen,202775.0
2012,Kampen,200033.0
2013,Kampen,180371.0
2014,Kampen,186175.0
2015,Kampen,199886.0
2016,Kampen,213513.0
2017,Kampen,218823.0
1995,Losser,90161.0
1996,Losser,93495.0
1997,Losser,98773.0
1998,Losser,104911.0
1999,Losser,129616.0
2000,Losser,159735.0
2001,Losser,173660.0
2002,Losser,202883.0
2003,Losser,197376.0
2004,Losser,205101.0
2005,Losser,204494.0
2006,Losser,228460.0
2007,Losser,231059.0
2008,Losser,228750.0
2009,Losser,200063.0
2010,Losser,211509.0
2011,Losser,236220.0
2012,Losser,202447.0
2013,Losser,192340.0
2014,Losser,204968.0
2015,Losser,204490.0
2016,Losser,219042.0
2017,Losser,244841.0
1995,Oldenzaal,90244.0
1996,Oldenzaal,85894.0
1997,Oldenzaal,107707.0
1998,Oldenzaal,114852.0
1999,Oldenzaal,133147.0
2000,Oldenzaal,167915.0
2001,Oldenzaal,183446.0
2002,Oldenzaal,193134.0
2003,Oldenzaal,196473.0
2004,Oldenzaal,215984.0
2005,Oldenzaal,227744.0
2006,Oldenzaal,227839.0
2007,Oldenzaal,234249.0
2008,Oldenzaal,243543.0
2009,Oldenzaal,238996.0
2010,Oldenzaal,220528.0
2011,Oldenzaal,240597.0
2012,Oldenzaal,228743.0
2013,Oldenzaal,208080.0
2014,Oldenzaal,215446.0
2015,Oldenzaal,218998.0
2016,Oldenzaal,220721.0
2017,Oldenzaal,243961.0
1995,Ommen,113761.0
1996,Ommen,111237.0
1997,Ommen,107213.0
1998,Ommen,142791.0
1999,Ommen,163304.0
2000,Ommen,194815.0
2001,Ommen,226784.0
