Periods,Region,Price
1995,Amersfoort,107823.0
1996,Amersfoort,117857.0
1997,Amersfoort,129387.0
1998,Amersfoort,143880.0
1999,Amersfoort,166995.0
2000,Amersfoort,198085.0
2001,Amersfoort,217625.0
2002,Amersfoort,224999.0
2003,Amersfoort,223620.0
2004,Amersfoort,233132.0
2005,Amersfoort,240428.0
2006,Amersfoort,249382.0
2007,Amersfoort,258568.0
2008,Amersfoort,274327.0
2009,Amersfoort,255681.0
2010,Amersfoort,269044.0
2011,Amersfoort,261404.0
2012,Amersfoort,245953.0
2013,Amersfoort,233493.0
2014,Amersfoort,243723.0
2015,Amersfoort,240857.0
2016,Amersfoort,262805.0
2017,Amersfoort,296863.0
1995,Baarn,129014.0
1996,Baarn,149900.0
1997,Baarn,157594.0
1998,Baarn,172499.0
1999,Baarn,207130.0
2000,Baarn,273732.0
2001,Baarn,301252.0
2002,Baarn,314631.0
2003,Baarn,269230.0
2004,Baarn,307780.0
2005,Baarn,329046.0
2006,Baarn,354084.0
2007,Baarn,376584.0
2008,Baarn,352729.0
2009,Baarn,345492.0
2010,Baarn,339479.0
2011,Baarn,356297.0
2012,Baarn,308279.0
2013,Baarn,332346.0
2014,Baarn,321127.0
2015,Baarn,297817.0
2016,Baarn,348588.0
2017,Baarn,364285.0
1995,De Bilt,158006.0
1996,De Bilt,162546.0
1997,De Bilt,178588.0
1998,De Bilt,210447.0
1999,De Bilt,277310.0
2000,De Bilt,325145.0
2001,De Bilt,338232.0
2002,De Bilt,347508.0
2003,De Bilt,357250.0
2004,De Bilt,364728.0
2005,De Bilt,395246.0
2006,De Bilt,379176.0
2007,De Bilt,419979.0
2008,De Bilt,436729.0
2009,De Bilt,396846.0
2010,De Bilt,432827.0
2011,De Bilt,463235.0
2012,De Bilt,401758.0
2013,De Bilt,358334.0
2014,De Bilt,346539.0
2015,De Bilt,374060.0
2016,De Bilt,384837.0
2017,De Bilt,454080.0
1995,Bunnik,129565.0
1996,Bunnik,137090.0
1997,Bunnik,149952.0
1998,Bunnik,178716.0
1999,Bunnik,209495.0
2000,Bunnik,243400.0
2001,Bunnik,247976.0
2002,Bunnik,266721.0
2003,Bunnik,250476.0
2004,Bunnik,278256.0
2005,Bunnik,270461.0
2006,Bunnik,320244.0
2007,Bunnik,367885.0
2008,Bunnik,326760.0
2009,Bunnik,349080.0
2010,Bunnik,307349.0
2011,Bunnik,296279.0
2012,Bunnik,277716.0
2013,Bunnik,296590.0
2014,Bunnik,271316.0
2015,Bunnik,300792.0
2016,Bunnik,339691.0
2017,Bunnik,354780.0
1995,Bunschoten,98266.0
1996,Bunschoten,99119.0
1997,Bunschoten,118626.0
1998,Bunschoten,136789.0
1999,Bunschoten,145091.0
2000,Bunschoten,179684.0
2001,Bunschoten,226341.0
2002,Bunschoten,224838.0
2003,Bunschoten,218498.0
2004,Bunschoten,229128.0
2005,Bunschoten,248689.0
2006,Bunschoten,268687.0
2007,Bunschoten,280351.0
2008,Bunschoten,274737.0
2009,Bunschoten,252229.0
2010,Bunschoten,263047.0
2011,Bunschoten,252160.0
2012,Bunschoten,241145.0
2013,Bunschoten,205432.0
2014,Bunschoten,220633.0
2015,Bunschoten,248750.0
2016,Bunschoten,251164.0
2017,Bunschoten,274301.0
1995,Eemnes,121550.0
1996,Eemnes,130016.0
1997,Eemnes,153020.0
1998,Eemnes,154088.0
1999,Eemnes,202044.0
2000,Eemnes,247256.0
2001,Eemnes,338615.0
2002,Eemnes,313453.0
2003,Eemnes,279170.0
2004,Eemnes,264441.0
2005,Eemnes,275911.0
