Periods,Region,Price
1995,Borsele,75997.0
1996,Borsele,82475.0
1997,Borsele,92269.0
1998,Borsele,100712.0
1999,Borsele,115879.0
2000,Borsele,133165.0
2001,Borsele,146516.0
2002,Borsele,166049.0
2003,Borsele,179881.0
2004,Borsele,201960.0
2005,Borsele,202207.0
2006,Borsele,208432.0
2007,Borsele,221441.0
2008,Borsele,228353.0
2009,Borsele,217215.0
2010,Borsele,223962.0
2011,Borsele,201521.0
2012,Borsele,189437.0
2013,Borsele,184496.0
2014,Borsele,189830.0
2015,Borsele,198139.0
2016,Borsele,198956.0
2017,Borsele,207747.0
1995,Goes,80794.0
1996,Goes,87784.0
1997,Goes,93218.0
1998,Goes,107778.0
1999,Goes,114268.0
2000,Goes,140527.0
2001,Goes,157133.0
2002,Goes,180026.0
2003,Goes,191160.0
2004,Goes,208982.0
2005,Goes,221588.0
2006,Goes,231180.0
2007,Goes,234925.0
2008,Goes,262673.0
2009,Goes,224493.0
2010,Goes,225860.0
2011,Goes,229507.0
2012,Goes,214259.0
2013,Goes,191719.0
2014,Goes,213554.0
2015,Goes,209007.0
2016,Goes,218354.0
2017,Goes,236388.0
1995,Hulst,65033.0
1996,Hulst,79145.0
1997,Hulst,82632.0
1998,Hulst,94421.0
1999,Hulst,91570.0
2000,Hulst,102309.0
2001,Hulst,120244.0
2002,Hulst,145451.0
2003,Hulst,143809.0
2004,Hulst,151421.0
2005,Hulst,165049.0
2006,Hulst,163538.0
2007,Hulst,175950.0
2008,Hulst,191943.0
2009,Hulst,179875.0
2010,Hulst,182051.0
2011,Hulst,177863.0
2012,Hulst,175535.0
2013,Hulst,177663.0
2014,Hulst,177323.0
2015,Hulst,194385.0
2016,Hulst,190359.0
2017,Hulst,199354.0
1995,Kapelle,81191.0
1996,Kapelle,94670.0
1997,Kapelle,103113.0
1998,Kapelle,106234.0
1999,Kapelle,123873.0
2000,Kapelle,143624.0
2001,Kapelle,160635.0
2002,Kapelle,180410.0
2003,Kapelle,191641.0
2004,Kapelle,221679.0
2005,Kapelle,213836.0
2006,Kapelle,235423.0
2007,Kapelle,236096.0
2008,Kapelle,227360.0
2009,Kapelle,228551.0
2010,Kapelle,214930.0
2011,Kapelle,215625.0
2012,Kapelle,218095.0
2013,Kapelle,197596.0
2014,Kapelle,195084.0
2015,Kapelle,224522.0
2016,Kapelle,234934.0
2017,Kapelle,228219.0
1995,Middelburg (Z.),88136.0
1996,Middelburg (Z.),94463.0
1997,Middelburg (Z.),91757.0
1998,Middelburg (Z.),101854.0
1999,Middelburg (Z.),107788.0
2000,Middelburg (Z.),123880.0
2001,Middelburg (Z.),144172.0
2002,Middelburg (Z.),155372.0
2003,Middelburg (Z.),192152.0
2004,Middelburg (Z.),202418.0
2005,Middelburg (Z.),214129.0
2006,Middelburg (Z.),213418.0
2007,Middelburg (Z.),224097.0
2008,Middelburg (Z.),223481.0
2009,Middelburg (Z.),215184.0
2010,Middelburg (Z.),206310.0
2011,Middelburg (Z.),205714.0
2012,Middelburg (Z.),202625.0
2013,Middelburg (Z.),205495.0
2014,Middelburg (Z.),198061.0
2015,Middelburg (Z.),193782.0
2016,Middelburg (Z.),213342.0
2017,Middelburg (Z.),232814.0
1995,Noord-Beveland,75235.0
1996,Noord-Beveland,87772.0
1997,Noord-Beveland,90008.0
1998,Noord-Beveland,90967.0
1999,Noord-Beveland,106347.0
2000,Noord-Beveland,121393.0
2001,Noord-Beveland,157191.0
2002,Noord-Beveland,152127.0
2003,Noord-Beveland,166879.0
2004,Noord-Beveland,172101.0
2005,Noord-Beveland,211785.0
2006,Noord-Beveland,203135.0
2007,Noord-Beveland,246519.0
2008,Noord-Beveland,196402.0
2009,Noord-Beveland,173519.0
2010,Noord-Beveland,207116.0
2011,Noord-Beveland,192579.0
2012,Noord-Beveland,194132.0
2013,Noord-Beveland,201035.0
2014,Noord-Beveland,188459.0
2015,Noord-Beveland,187695.0
2016,Noord-Beveland,184198.0
2017,Noord-Beveland,209737.0
1995,Reimerswaal,67975.0
1996,Reimerswaal,72780.0
1997,Reimerswaal,84469.0
1998,Reimerswaal,90038.0
1999,Reimerswaal,99035.0
2000,Reimerswaal,113481.0
2001,Reimerswaal,136279.0
2002,Reimerswaal,153288.0
2003,Reimerswaal,151859.0
2004,Reimerswaal,168863.0
2005,Reimerswaal,186289.0
2006,Reimerswaal,192591.0
2007,Reimerswaal,195134.0
2008,Reimerswaal,195449.0
2009,Reimerswaal,179538.0
2010,Reimerswaal,189033.0
2011,Reimerswaal,171320.0
2012,Reimerswaal,177534.0
2013,Reimerswaal,174470.0
2014,Reimerswaal,178474.0
2015,Reimerswaal,188404.0
2016,Reimerswaal,198646.0
2017,Reimerswaal,199257.0
1995,Terneuzen,65432.0
1996,Terneuzen,65333.0
1997,Terneuzen,68833.0
1998,Terneuzen,70271.0
1999,Terneuzen,77006.0
2000,Terneuzen,86367.0
2001,Terneuzen,101285.0
2002,Terneuzen,116090.0
2003,Terneuzen,133708.0
2004,Terneuzen,132127.0
2005,Terneuzen,140948.0
2006,Terneuzen,148507.0
2007,Terneuzen,152099.0
2008,Terneuzen,158476.0
2009,Terneuzen,154543.0
2010,Terneuzen,154643.0
2011,Terneuzen,153149.0
2012,Terneuzen,154531.0
2013,Terneuzen,151138.0
2014,Terneuzen,153474.0
2015,Terneuzen,156869.0
2016,Terneuzen,162271.0
2017,Terneuzen,174793.0
1995,Tholen,62488.0
1996,Tholen,67009.0
1997,Tholen,82335.0
1998,Tholen,88501.0
1999,Tholen,102659.0
2000,Tholen,116704.0
2001,Tholen,125147.0
2002,Tholen,139709.0
2003,Tholen,159775.0
2004,Tholen,154818.0
2005,Tholen,178189.0
2006,Tholen,188628.0
2007,Tholen,191750.0
2008,Tholen,198848.0
2009,Tholen,191460.0
2010,Tholen,188206.0
2011,Tholen,194182.0
2012,Tholen,186582.0
2013,Tholen,160531.0
2014,Tholen,171622.0
2015,Tholen,178823.0
2016,Tholen,175067.0
2017,Tholen,183833.0
1995,Veere,92662.0
1996,Veere,110441.0
1997,Veere,112968.0
1998,Veere,116833.0
1999,Veere,146391.0
2000,Veere,174248.0
2001,Veere,175170.0
2002,Veere,195447.0
2003,Veere,208723.0
2004,Veere,236672.0
2005,Veere,243740.0
2006,Veere,286239.0
2007,Veere,256689.0
2008,Veere,252205.0
2009,Veere,263274.0
2010,Veere,269263.0
2011,Veere,274814.0
2012,Veere,256264.0
2013,Veere,232800.0
2014,Veere,240880.0
2015,Veere,242879.0
2016,Veere,261978.0
2017,Veere,277322.0
1995,Vlissingen,72853.0
1996,Vlissingen,77453.0
1997,Vlissingen,77504.0
1998,Vlissingen,86477.0
1999,Vlissingen,95597.0
