Periods,Region,Price
1995,Alblasserdam,76663.0
1996,Alblasserdam,97615.0
1997,Alblasserdam,102416.0
1998,Alblasserdam,110649.0
1999,Alblasserdam,133865.0
2000,Alblasserdam,146283.0
2001,Alblasserdam,172244.0
2002,Alblasserdam,182776.0
2003,Alblasserdam,197255.0
2004,Alblasserdam,204159.0
2005,Alblasserdam,203787.0
2006,Alblasserdam,209694.0
2007,Alblasserdam,225699.0
2008,Alblasserdam,226449.0
2009,Alblasserdam,221303.0
2010,Alblasserdam,229507.0
2011,Alblasserdam,223250.0
2012,Alblasserdam,212680.0
2013,Alblasserdam,190876.0
2014,Alblasserdam,204392.0
2015,Alblasserdam,210548.0
2016,Alblasserdam,213289.0
2017,Alblasserdam,233036.0
1995,Albrandswaard,116676.0
1996,Albrandswaard,130390.0
1997,Albrandswaard,150102.0
1998,Albrandswaard,147784.0
1999,Albrandswaard,156265.0
2000,Albrandswaard,184493.0
2001,Albrandswaard,242446.0
2002,Albrandswaard,241545.0
2003,Albrandswaard,245383.0
2004,Albrandswaard,253426.0
2005,Albrandswaard,273306.0
2006,Albrandswaard,303935.0
2007,Albrandswaard,291251.0
2008,Albrandswaard,300151.0
2009,Albrandswaard,289387.0
2010,Albrandswaard,283348.0
2011,Albrandswaard,266889.0
2012,Albrandswaard,287149.0
2013,Albrandswaard,246855.0
2014,Albrandswaard,264735.0
2015,Albrandswaard,267026.0
2016,Albrandswaard,290565.0
2017,Albrandswaard,326356.0
1995,Alphen aan den Rijn,100965.0
1996,Alphen aan den Rijn,112026.0
1997,Alphen aan den Rijn,116687.0
1998,Alphen aan den Rijn,125996.0
1999,Alphen aan den Rijn,146359.0
2000,Alphen aan den Rijn,181567.0
2001,Alphen aan den Rijn,198489.0
2002,Alphen aan den Rijn,203049.0
2003,Alphen aan den Rijn,215776.0
2004,Alphen aan den Rijn,213741.0
2005,Alphen aan den Rijn,223145.0
2006,Alphen aan den Rijn,236262.0
2007,Alphen aan den Rijn,234586.0
2008,Alphen aan den Rijn,248638.0
2009,Alphen aan den Rijn,187425.0
2010,Alphen aan den Rijn,193252.0
2011,Alphen aan den Rijn,211847.0
2012,Alphen aan den Rijn,198369.0
2013,Alphen aan den Rijn,214234.0
2014,Alphen aan den Rijn,224102.0
2015,Alphen aan den Rijn,210948.0
2016,Alphen aan den Rijn,223430.0
2017,Alphen aan den Rijn,246886.0
1995,Barendrecht,114830.0
1996,Barendrecht,120398.0
1997,Barendrecht,138622.0
1998,Barendrecht,134797.0
1999,Barendrecht,170270.0
2000,Barendrecht,198794.0
2001,Barendrecht,215732.0
2002,Barendrecht,232235.0
2003,Barendrecht,246019.0
2004,Barendrecht,255428.0
2005,Barendrecht,255391.0
2006,Barendrecht,283736.0
2007,Barendrecht,275094.0
2008,Barendrecht,288588.0
2009,Barendrecht,273885.0
2010,Barendrecht,266941.0
2011,Barendrecht,276421.0
2012,Barendrecht,262311.0
2013,Barendrecht,258369.0
