Periods,Min,Max,Distract,Divisor
1995,67913,109909,41996,8399
1996,72509,118383,45874,9174
1997,79297,135128,55831,11166
1998,84559,150746,66187,13237
1999,96075,179524,83449,16689
2000,111768,210598,98830,19766
2001,129222,225623,96401,19280
2002,141432,233166,91734,18346
2003,148159,237360,89201,17840
2004,155116,247971,92855,18571
2005,168081,257807,89726,17945
2006,177983,272931,94948,18989
2007,186935,290511,103576,20715
2008,188062,301065,113003,22600
2009,181358,280228,98870,19774
2010,177940,283922,105982,21196
2011,180603,282944,102341,20468
2012,172575,267112,94537,18907
2013,163505,249506,86001,17200
2014,165832,257128,91296,18259
2015,171679,273911,102232,20446
2016,180595,301899,121304,24260
2017,195057,333082,138025,27605
